keys	en	es
TITLE	Guerra de Abrazos	Guerra de Abrazos
PLAY	PLAY	JUGAR
OPTIONS	OPTIONS	OPCIONES
CONTINUE	CONTINUE	CONTINUAR
CONTROLS	CONTROLS	CONTROLES
PAUSED	PAUSED	PAUSADO
EXITGAME	EXIT GAME	SALIR
EXITDESKTOP	EXIT TO DESKTOP	SALIR AL ESCRITORIO
LEAVEGAME	LEAVE GAME	ABANDONAR PARTIDA
JOINTIP	START / ENTER\n to Join	START / ENTER\n para Unirte
STARTTIP	Press SPACE or CONFIRM to begin	Pulsa ESPACIO o CONFIRMAR para jugar
BACKTIP	Press ESCAPE or CANCEL to go back	Pulsa ESCAPE o CANCELAR para volver
FULLSCREEN	Fullscreen	Pantalla Completa
VSYNC	Vsync	Vsync
LANGUAGE	Language	Idioma
SPANISH	Spanish – es	Español – es
ENGLISH	English – en	Inglés – en
MUSICVOL	Music	Música
SFXVOL	Sound Effects	Efectos de Sonido
PANDEMICTITLE	Pandemic !	Pandemia !
PANDEMICTIP	Avoid Everyone	Evita a Todo el Mundo
SCORES	Scores	Puntuaciones
ENDGAMEHELP	Press start for new game\nPress escape for main menu	Pulsa comenzar para jugar otra vez\n Pulsa escape para volver al menú principal
ENDLEVELHELP	Press START or ENTER to continue	Pulsa START o INTRO para continuar
